clip_id,ground_truth,output,latency,num_downsampled_frames,num_frames
v_ApplyEyeMakeup_g05_c05,ApplyEyeMakeup,ApplyEyeMakeup,1.644608974456787,8,227
v_ApplyEyeMakeup_g05_c06,ApplyEyeMakeup,ApplyEyeMakeup,1.1459071636199951,4,115
v_ApplyEyeMakeup_g05_c07,ApplyEyeMakeup,ApplyEyeMakeup,1.6327922344207764,8,235
v_ApplyEyeMakeup_g06_c01,ApplyEyeMakeup,ApplyEyeMakeup,1.4408791065216064,5,139
v_ApplyEyeMakeup_g06_c02,ApplyEyeMakeup,ApplyEyeMakeup,1.4031918048858643,5,139
v_ApplyEyeMakeup_g06_c03,ApplyEyeMakeup,ApplyEyeMakeup,1.9861149787902832,9,245
v_ApplyEyeMakeup_g06_c04,ApplyEyeMakeup,ApplyEyeMakeup,1.131633996963501,4,100
v_ApplyEyeMakeup_g06_c05,ApplyEyeMakeup,ApplyEyeMakeup,1.979809045791626,10,281
v_ApplyEyeMakeup_g06_c06,ApplyEyeMakeup,ApplyEyeMakeup,1.4352149963378906,5,146
v_ApplyEyeMakeup_g06_c07,ApplyEyeMakeup,ApplyEyeMakeup,1.3904619216918945,6,167
v_ApplyEyeMakeup_g07_c01,ApplyEyeMakeup,ApplyEyeMakeup,1.4239742755889893,6,158
v_ApplyEyeMakeup_g07_c02,ApplyEyeMakeup,ApplyEyeMakeup,1.4000542163848877,6,168
v_ApplyEyeMakeup_g07_c03,ApplyEyeMakeup,ApplyEyeMakeup,1.4199819564819336,5,133
v_ApplyEyeMakeup_g07_c04,ApplyEyeMakeup,ApplyEyeMakeup,1.4017269611358643,5,142
v_ApplyEyeMakeup_g07_c05,ApplyEyeMakeup,ApplyEyeMakeup,1.1189601421356201,4,98
v_ApplyEyeMakeup_g07_c06,ApplyEyeMakeup,ApplyEyeMakeup,1.400766134262085,6,162
v_ApplyEyeMakeup_g07_c07,ApplyEyeMakeup,ApplyEyeMakeup,1.131666898727417,4,114
v_ApplyLipstick_g01_c01,ApplyLipstick,ApplyEyeMakeup,1.3996388912200928,5,149
v_ApplyLipstick_g01_c02,ApplyLipstick,ApplyLipstick,1.4050710201263428,6,160
v_ApplyLipstick_g01_c03,ApplyLipstick,ApplyLipstick,2.40674090385437,11,309
v_ApplyLipstick_g01_c04,ApplyLipstick,ApplyLipstick,2.657559871673584,13,369
v_ApplyLipstick_g01_c05,ApplyLipstick,ApplyLipstick,1.6889657974243164,8,213
v_ApplyLipstick_g02_c01,ApplyLipstick,ApplyLipstick,1.4273347854614258,5,127
v_ApplyLipstick_g02_c02,ApplyLipstick,ApplyLipstick,1.163680076599121,4,118
v_ApplyLipstick_g02_c03,ApplyLipstick,ApplyLipstick,1.1260149478912354,4,98
v_ApplyLipstick_g02_c04,ApplyLipstick,ApplyLipstick,1.6703100204467773,7,185
v_ApplyLipstick_g03_c01,ApplyLipstick,ApplyLipstick,1.419240951538086,6,180
v_ApplyLipstick_g03_c02,ApplyLipstick,ApplyLipstick,1.1575369834899902,4,108
v_ApplyLipstick_g03_c03,ApplyLipstick,ApplyLipstick,1.4023618698120117,6,154
v_ApplyLipstick_g03_c04,ApplyLipstick,ApplyLipstick,1.430638074874878,5,142
v_ApplyLipstick_g04_c01,ApplyLipstick,ApplyLipstick,1.124342679977417,4,98
v_ApplyLipstick_g04_c02,ApplyLipstick,ApplyLipstick,1.404749870300293,5,144
v_ApplyLipstick_g04_c03,ApplyLipstick,ApplyLipstick,1.4241130352020264,5,150
v_ApplyLipstick_g04_c04,ApplyLipstick,ApplyLipstick,2.0383689403533936,9,258
v_ApplyLipstick_g04_c05,ApplyLipstick,ApplyLipstick,1.4340920448303223,6,169
v_ApplyLipstick_g05_c01,ApplyLipstick,ApplyLipstick,1.4503700733184814,6,177
v_ApplyLipstick_g05_c02,ApplyLipstick,ApplyLipstick,1.4231159687042236,6,154
v_ApplyLipstick_g05_c03,ApplyLipstick,ApplyLipstick,1.1820437908172607,4,113
v_ApplyLipstick_g05_c04,ApplyLipstick,ApplyLipstick,1.1539411544799805,4,120
v_ApplyLipstick_g05_c05,ApplyLipstick,ApplyLipstick,1.4445631504058838,6,156
v_ApplyLipstick_g06_c01,ApplyLipstick,ApplyLipstick,3.0713870525360107,16,460
v_ApplyLipstick_g06_c02,ApplyLipstick,ApplyLipstick,2.072176933288574,9,249
v_ApplyLipstick_g06_c03,ApplyLipstick,ApplyLipstick,1.475733995437622,6,153
v_ApplyLipstick_g06_c04,ApplyLipstick,ApplyLipstick,3.4169721603393555,18,523
v_ApplyLipstick_g06_c05,ApplyLipstick,ApplyLipstick,2.3816440105438232,11,321
v_ApplyLipstick_g07_c01,ApplyLipstick,ApplyLipstick,2.0764169692993164,9,270
v_ApplyLipstick_g07_c02,ApplyLipstick,ApplyLipstick,1.4820938110351562,5,125
v_ApplyLipstick_g07_c03,ApplyLipstick,ApplyLipstick,1.7127528190612793,8,226
v_ApplyLipstick_g07_c04,ApplyLipstick,ApplyLipstick,1.4367139339447021,6,163
v_Archery_g01_c01,Archery,Archery,1.3536193370819092,5,131
v_Archery_g01_c02,Archery,Archery,1.3550326824188232,5,142
v_Archery_g01_c03,Archery,Archery,1.3428599834442139,6,158
v_Archery_g01_c04,Archery,Archery,1.3583049774169922,5,125
v_Archery_g01_c05,Archery,Archery,1.33638596534729,5,135
v_Archery_g01_c06,Archery,Archery,1.0867769718170166,4,108
v_Archery_g01_c07,Archery,Archery,1.3570609092712402,5,143
v_Archery_g02_c01,Archery,Archery,1.3483459949493408,6,158
v_Archery_g02_c02,Archery,Archery,1.3388721942901611,6,160
v_Archery_g02_c03,Archery,Archery,1.3407371044158936,5,138
v_Archery_g02_c04,Archery,Archery,1.0559780597686768,4,109
v_Archery_g02_c05,Archery,Archery,1.3283441066741943,5,127
v_Archery_g02_c06,Archery,Archery,1.0628957748413086,4,113
v_Archery_g02_c07,Archery,Archery,1.3513331413269043,6,166
v_Archery_g03_c01,Archery,Archery,1.3357760906219482,5,150
v_Archery_g03_c02,Archery,Archery,1.3348321914672852,6,176
v_Archery_g03_c03,Archery,Archery,1.338615894317627,5,125
v_Archery_g03_c04,Archery,Archery,1.3365988731384277,5,138
v_Archery_g03_c05,Archery,Archery,1.382620096206665,5,124
v_Archery_g04_c01,Archery,Archery,1.3408839702606201,6,165
v_Archery_g04_c02,Archery,Archery,1.3343861103057861,6,173
v_Archery_g04_c03,Archery,Archery,1.3422660827636719,5,140
v_Archery_g04_c04,Archery,Archery,1.3427698612213135,5,135
v_Archery_g04_c05,Archery,Archery,1.3546929359436035,5,149
v_Archery_g05_c01,Archery,Archery,3.0139451026916504,16,455
v_Archery_g05_c02,Archery,Archery,3.905663013458252,19,557
v_Archery_g05_c03,Archery,Archery,3.480060338973999,17,488
v_Archery_g05_c04,Archery,Drumming,0.9277670383453369,2,51
v_Archery_g05_c05,Archery,Archery,1.7891221046447754,7,196
v_Archery_g06_c01,Archery,Archery,1.1444859504699707,3,81
v_Archery_g06_c02,Archery,Archery,1.154209852218628,4,116
v_Archery_g06_c03,Archery,Archery,1.1591198444366455,3,87
v_Archery_g06_c04,Archery,Archery,1.16780424118042,4,104
v_Archery_g06_c05,Archery,Archery,1.5221221446990967,5,130
v_Archery_g06_c06,Archery,Archery,1.5084478855133057,5,132
v_Archery_g07_c01,Archery,Archery,1.1892249584197998,4,91
v_Archery_g07_c02,Archery,Archery,1.2321901321411133,3,72
v_Archery_g07_c03,Archery,Archery,0.8852920532226562,2,51
v_Archery_g07_c04,Archery,Archery,0.8592591285705566,2,51
v_Archery_g07_c05,Archery,Archery,1.2359468936920166,3,64
v_Archery_g07_c06,Archery,Archery,1.2414369583129883,3,67
v_BabyCrawling_g01_c01,BabyCrawling,BabyCrawling,1.690669059753418,6,165
v_BabyCrawling_g01_c02,BabyCrawling,BabyCrawling,1.6603620052337646,6,165
v_BabyCrawling_g01_c03,BabyCrawling,BabyCrawling,1.7359797954559326,6,156
v_BabyCrawling_g01_c04,BabyCrawling,BabyCrawling,2.1042349338531494,8,219
v_BabyCrawling_g02_c01,BabyCrawling,BabyCrawling,1.3986999988555908,4,109
v_BabyCrawling_g02_c02,BabyCrawling,BabyCrawling,1.416168212890625,4,112
v_BabyCrawling_g02_c03,BabyCrawling,BabyCrawling,1.3894779682159424,4,117
v_BabyCrawling_g02_c04,BabyCrawling,BabyCrawling,1.3854198455810547,4,105
v_BabyCrawling_g02_c05,BabyCrawling,BabyCrawling,1.4065909385681152,3,84
v_BabyCrawling_g02_c06,BabyCrawling,BabyCrawling,2.186176061630249,7,190
v_BabyCrawling_g03_c01,BabyCrawling,BabyCrawling,2.172214984893799,8,215
v_BabyCrawling_g03_c02,BabyCrawling,BabyCrawling,2.211627960205078,7,181
v_BabyCrawling_g03_c03,BabyCrawling,BabyCrawling,2.2050890922546387,7,198
v_BabyCrawling_g03_c04,BabyCrawling,BabyCrawling,2.237399101257324,7,207
v_BabyCrawling_g04_c01,BabyCrawling,BabyCrawling,1.8411340713500977,5,127
v_BabyCrawling_g04_c02,BabyCrawling,BabyCrawling,1.8663530349731445,6,178
v_BabyCrawling_g04_c03,BabyCrawling,BabyCrawling,1.800633192062378,6,159
v_BabyCrawling_g04_c04,BabyCrawling,BabyCrawling,2.215855121612549,7,204
v_BabyCrawling_g05_c01,BabyCrawling,BabyCrawling,2.1802380084991455,8,221
v_BabyCrawling_g05_c02,BabyCrawling,BabyCrawling,2.2287678718566895,7,197
v_BabyCrawling_g05_c03,BabyCrawling,BabyCrawling,2.6038200855255127,10,271
v_BabyCrawling_g05_c04,BabyCrawling,BabyCrawling,2.190567970275879,8,230
v_BabyCrawling_g05_c05,BabyCrawling,BabyCrawling,1.8283469676971436,6,159
v_BabyCrawling_g06_c01,BabyCrawling,BabyCrawling,2.2591681480407715,7,198
v_BabyCrawling_g06_c02,BabyCrawling,BabyCrawling,1.7625820636749268,6,167
v_BabyCrawling_g06_c03,BabyCrawling,BabyCrawling,2.1757261753082275,7,201
v_BabyCrawling_g06_c04,BabyCrawling,BabyCrawling,1.4337363243103027,4,113
v_BabyCrawling_g06_c05,BabyCrawling,BabyCrawling,2.5729761123657227,9,258
v_BabyCrawling_g06_c06,BabyCrawling,BabyCrawling,3.012091875076294,11,329
v_BabyCrawling_g07_c01,BabyCrawling,BabyCrawling,2.215416193008423,7,203
v_BabyCrawling_g07_c02,BabyCrawling,BabyCrawling,1.7898049354553223,5,145
v_BabyCrawling_g07_c03,BabyCrawling,BabyCrawling,1.780500888824463,6,171
v_BabyCrawling_g07_c04,BabyCrawling,BabyCrawling,2.113041877746582,8,215
v_BabyCrawling_g07_c05,BabyCrawling,BabyCrawling,1.7483251094818115,5,141
v_BabyCrawling_g07_c06,BabyCrawling,BabyCrawling,2.0714950561523438,7,210
v_BalanceBeam_g01_c01,BalanceBeam,BalanceBeam,1.612344741821289,5,125
v_BalanceBeam_g01_c02,BalanceBeam,Parallel Bars,1.2789356708526611,3,90
v_BalanceBeam_g01_c03,BalanceBeam,FloorGymnastics,1.3688828945159912,4,112
v_BalanceBeam_g01_c04,BalanceBeam,Uneven Bars,1.3056790828704834,4,111
v_BalanceBeam_g02_c01,BalanceBeam,BalanceBeam,1.2625620365142822,3,82
v_BalanceBeam_g02_c02,BalanceBeam,BalanceBeam,1.250399112701416,4,100
v_BalanceBeam_g02_c03,BalanceBeam,BalanceBeam,0.8798432350158691,2,60
v_BalanceBeam_g02_c04,BalanceBeam,BalanceBeam,1.5681159496307373,5,133
v_BalanceBeam_g03_c01,BalanceBeam,BalanceBeam,1.8974997997283936,7,197
v_BalanceBeam_g03_c02,BalanceBeam,FloorGymnastics,1.3342831134796143,4,105
v_BalanceBeam_g03_c03,BalanceBeam,FloorGymnastics,1.3665070533752441,4,101
v_BalanceBeam_g03_c04,BalanceBeam,FloorGymnastics,1.3609461784362793,3,75
v_BalanceBeam_g04_c01,BalanceBeam,Uneven Bars,1.246767282485962,4,120
v_BalanceBeam_g04_c02,BalanceBeam,BalanceBeam,1.8975181579589844,8,231
v_BalanceBeam_g04_c03,BalanceBeam,BalanceBeam,1.5729460716247559,6,160
v_BalanceBeam_g04_c04,BalanceBeam,Uneven Bars,1.5677807331085205,5,131
v_BalanceBeam_g05_c01,BalanceBeam,BalanceBeam,1.1858429908752441,4,95
v_BalanceBeam_g05_c02,BalanceBeam,BalanceBeam,1.1697452068328857,4,114
v_BalanceBeam_g05_c03,BalanceBeam,Uneven Bars,1.1942882537841797,4,111
v_BalanceBeam_g05_c04,BalanceBeam,BalanceBeam,1.5284910202026367,6,180
v_BalanceBeam_g06_c01,BalanceBeam,BalanceBeam,1.1728520393371582,4,106
v_BalanceBeam_g06_c02,BalanceBeam,HighJump,1.1805858612060547,4,118
v_BalanceBeam_g06_c03,BalanceBeam,BalanceBeam,1.1679720878601074,4,105
v_BalanceBeam_g06_c04,BalanceBeam,BalanceBeam,1.1726279258728027,4,120
v_BalanceBeam_g06_c05,BalanceBeam,BasketballDunk,1.255815029144287,4,102
v_BalanceBeam_g06_c06,BalanceBeam,HighJump,1.1546061038970947,4,111
v_BalanceBeam_g06_c07,BalanceBeam,HighJump,1.1872262954711914,4,116
v_BalanceBeam_g07_c01,BalanceBeam,BalanceBeam,1.1544959545135498,3,78
v_BalanceBeam_g07_c02,BalanceBeam,Uneven Bars,1.183405876159668,4,110
v_BalanceBeam_g07_c03,BalanceBeam,BalanceBeam,1.8487801551818848,7,202
v_BalanceBeam_g07_c04,BalanceBeam,Uneven Bars,1.1936938762664795,4,107
v_BandMarching_g01_c01,BandMarching,MilitaryParade,1.5227689743041992,6,160
v_BandMarching_g01_c02,BandMarching,BandMarching,1.5177249908447266,6,162
v_BandMarching_g01_c03,BandMarching,MilitaryParade,1.5308399200439453,6,151
v_BandMarching_g01_c04,BandMarching,BandMarching,1.4923689365386963,6,160
v_BandMarching_g01_c05,BandMarching,BandMarching,1.4940829277038574,6,168
v_BandMarching_g01_c06,BandMarching,BandMarching,1.4958360195159912,6,151
v_BandMarching_g01_c07,BandMarching,BandMarching,1.177091121673584,4,110
v_BandMarching_g02_c01,BandMarching,MilitaryParade,1.472987174987793,6,156
v_BandMarching_g02_c02,BandMarching,MilitaryParade,1.4840147495269775,6,156
v_BandMarching_g02_c03,BandMarching,BandMarching,1.5021071434020996,5,123
v_BandMarching_g02_c04,BandMarching,BandMarching,1.4895849227905273,5,122
v_BandMarching_g02_c05,BandMarching,BandMarching,1.541820764541626,5,123
v_BandMarching_g02_c06,BandMarching,BandMarching,1.4609079360961914,5,125
v_BandMarching_g02_c07,BandMarching,BandMarching,1.4974582195281982,5,145
v_BandMarching_g03_c01,BandMarching,MilitaryParade,2.806441068649292,14,405
v_BandMarching_g03_c02,BandMarching,MilitaryParade,2.4775941371917725,12,335
v_BandMarching_g03_c03,BandMarching,MilitaryParade,2.134720802307129,10,284
v_BandMarching_g03_c04,BandMarching,MilitaryParade,3.133450984954834,16,471
v_BandMarching_g03_c05,BandMarching,MilitaryParade,2.119814872741699,9,270
v_BandMarching_g03_c06,BandMarching,MilitaryParade,2.7823190689086914,14,414
v_BandMarching_g03_c07,BandMarching,BandMarching,2.089371919631958,9,249
v_BandMarching_g04_c01,BandMarching,MilitaryParade,3.112908124923706,15,448
v_BandMarching_g04_c02,BandMarching,MilitaryParade,1.7634339332580566,7,210
v_BandMarching_g04_c03,BandMarching,MilitaryParade,1.7478909492492676,7,195
v_BandMarching_g04_c04,BandMarching,MilitaryParade,1.447943925857544,6,167
v_BandMarching_g05_c01,BandMarching,BandMarching,0.8646688461303711,2,47
v_BandMarching_g05_c02,BandMarching,BandMarching,1.124629020690918,3,84
v_BandMarching_g05_c03,BandMarching,BandMarching,1.471405029296875,5,149
v_BandMarching_g05_c04,BandMarching,MilitaryParade,1.1796369552612305,3,89
v_BandMarching_g05_c05,BandMarching,BandMarching,1.1389951705932617,3,65
v_BandMarching_g05_c06,BandMarching,MilitaryParade,1.1065800189971924,3,79
v_BandMarching_g05_c07,BandMarching,BandMarching,1.132802963256836,3,62
v_BandMarching_g06_c01,BandMarching,BandMarching,1.0999069213867188,3,68
v_BandMarching_g06_c02,BandMarching,MilitaryParade,1.401082992553711,6,152
v_BandMarching_g06_c03,BandMarching,MilitaryParade,1.1051740646362305,4,105
v_BandMarching_g06_c04,BandMarching,MilitaryParade,1.1072320938110352,4,118
v_BandMarching_g07_c01,BandMarching,BandMarching,1.1023380756378174,3,70
v_BandMarching_g07_c02,BandMarching,MilitaryParade,1.0879271030426025,4,102
v_BandMarching_g07_c03,BandMarching,BandMarching,1.0967140197753906,4,105
v_BandMarching_g07_c04,BandMarching,BandMarching,1.4118731021881104,5,132
v_BandMarching_g07_c05,BandMarching,BandMarching,1.1365420818328857,4,117
v_BandMarching_g07_c06,BandMarching,MilitaryParade,1.4090180397033691,5,146
v_BandMarching_g07_c07,BandMarching,MilitaryParade,1.3915810585021973,5,146
v_BaseballPitch_g01_c01,BaseballPitch,FieldHockeyPenalty,1.1847829818725586,4,107
v_BaseballPitch_g01_c02,BaseballPitch,FrisbeeCatch,1.1486570835113525,4,94
v_BaseballPitch_g01_c03,BaseballPitch,FrisbeeCatch,1.166790246963501,4,103
v_BaseballPitch_g01_c04,BaseballPitch,BaseballPitch,1.1029839515686035,4,105
v_BaseballPitch_g01_c05,BaseballPitch,FrisbeeCatch,1.1316652297973633,4,91
v_BaseballPitch_g01_c06,BaseballPitch,FrisbeeCatch,1.167834997177124,4,101
v_BaseballPitch_g02_c01,BaseballPitch,BaseballPitch,1.0868101119995117,3,79
v_BaseballPitch_g02_c02,BaseballPitch,BaseballPitch,1.1233689785003662,3,72
v_BaseballPitch_g02_c03,BaseballPitch,BaseballPitch,1.091421127319336,3,76
v_BaseballPitch_g02_c04,BaseballPitch,BaseballPitch,1.1265430450439453,3,85
v_BaseballPitch_g03_c01,BaseballPitch,BaseballPitch,1.1068222522735596,3,87
v_BaseballPitch_g03_c02,BaseballPitch,BaseballPitch,1.101595163345337,4,120
v_BaseballPitch_g03_c03,BaseballPitch,BaseballPitch,1.097994089126587,3,88
v_BaseballPitch_g03_c04,BaseballPitch,BaseballPitch,1.088592767715454,3,80
v_BaseballPitch_g03_c05,BaseballPitch,BaseballPitch,1.107680082321167,3,70
v_BaseballPitch_g03_c06,BaseballPitch,BaseballPitch,1.1005940437316895,3,76
v_BaseballPitch_g03_c07,BaseballPitch,BaseballPitch,1.1011087894439697,4,97
v_BaseballPitch_g04_c01,BaseballPitch,BaseballPitch,1.7459309101104736,8,213
v_BaseballPitch_g04_c02,BaseballPitch,BaseballPitch,1.1006410121917725,4,114
v_BaseballPitch_g04_c03,BaseballPitch,BaseballPitch,1.1058707237243652,4,99
v_BaseballPitch_g04_c04,BaseballPitch,BaseballPitch,1.091864824295044,4,118
v_BaseballPitch_g04_c05,BaseballPitch,BaseballPitch,1.0988659858703613,4,116
v_BaseballPitch_g05_c01,BaseballPitch,BaseballPitch,1.1042160987854004,4,118
v_BaseballPitch_g05_c02,BaseballPitch,BaseballPitch,1.0968501567840576,4,94
v_BaseballPitch_g05_c03,BaseballPitch,BaseballPitch,1.0900919437408447,4,91
v_BaseballPitch_g05_c04,BaseballPitch,BaseballPitch,1.0956437587738037,4,116
v_BaseballPitch_g05_c05,BaseballPitch,BaseballPitch,1.1025032997131348,3,72
v_BaseballPitch_g05_c06,BaseballPitch,BaseballPitch,1.1001029014587402,4,116
v_BaseballPitch_g05_c07,BaseballPitch,BaseballPitch,1.1104190349578857,3,70
v_BaseballPitch_g06_c01,BaseballPitch,BaseballPitch,1.106734037399292,4,99
v_BaseballPitch_g06_c02,BaseballPitch,BaseballPitch,1.0959739685058594,3,87
v_BaseballPitch_g06_c03,BaseballPitch,BaseballPitch,1.092365026473999,4,105
v_BaseballPitch_g06_c04,BaseballPitch,Baseball Pitch,0.8239941596984863,2,47
v_BaseballPitch_g06_c05,BaseballPitch,BaseballPitch,1.0972421169281006,3,63
v_BaseballPitch_g06_c06,BaseballPitch,BaseballPitch,1.0999159812927246,3,61
v_BaseballPitch_g06_c07,BaseballPitch,BaseballPitch,1.118894100189209,3,81
v_BaseballPitch_g07_c01,BaseballPitch,BaseballPitch,1.1043877601623535,3,65
v_BaseballPitch_g07_c02,BaseballPitch,BaseballPitch,1.422677993774414,5,135
v_BaseballPitch_g07_c03,BaseballPitch,BaseballPitch,1.0989508628845215,3,78
v_BaseballPitch_g07_c04,BaseballPitch,BaseballPitch,1.0931658744812012,3,87
v_BaseballPitch_g07_c05,BaseballPitch,BaseballPitch,1.0907762050628662,3,70
v_BaseballPitch_g07_c06,BaseballPitch,BaseballPitch,1.0747778415679932,3,78
v_BaseballPitch_g07_c07,BaseballPitch,BaseballPitch,1.0816478729248047,3,80
v_Basketball_g01_c01,Basketball,Basketball,1.3491899967193604,5,141
v_Basketball_g01_c02,Basketball,Basketball,1.3165409564971924,6,180
v_Basketball_g01_c03,Basketball,Basketball,1.6539008617401123,7,206
v_Basketball_g01_c04,Basketball,Basketball,1.0730888843536377,4,108
v_Basketball_g01_c05,Basketball,Basketball,1.3702549934387207,5,141
v_Basketball_g01_c06,Basketball,Basketball,1.3397462368011475,5,148
v_Basketball_g01_c07,Basketball,Basketball,1.063917636871338,4,100
v_Basketball_g02_c01,Basketball,Basketball,0.780707836151123,2,53
v_Basketball_g02_c02,Basketball,Basketball,0.7760241031646729,2,56
v_Basketball_g02_c03,Basketball,Basketball,1.0402350425720215,4,112
v_Basketball_g02_c04,Basketball,Basketball,1.0373649597167969,3,80
v_Basketball_g02_c05,Basketball,Basketball,1.35355806350708,5,144
v_Basketball_g02_c06,Basketball,Basketball,1.3432157039642334,5,124
v_Basketball_g03_c01,Basketball,BasketballDunk,1.434737205505371,5,138
v_Basketball_g03_c02,Basketball,Basketball,1.3934400081634521,5,126
v_Basketball_g03_c03,Basketball,Basketball,1.0817060470581055,4,120
v_Basketball_g03_c04,Basketball,Basketball,1.0543439388275146,3,80
v_Basketball_g03_c05,Basketball,BasketballDunk,1.4234752655029297,5,123
v_Basketball_g03_c06,Basketball,Basketball,1.0423650741577148,3,86
v_Basketball_g04_c01,Basketball,BasketballDunk,1.1282081604003906,4,109
v_Basketball_g04_c02,Basketball,Basketball,1.0374360084533691,4,104
v_Basketball_g04_c03,Basketball,Basketball,1.0601122379302979,4,106
v_Basketball_g04_c04,Basketball,Basketball,1.047327995300293,3,72
v_Basketball_g05_c01,Basketball,Basketball,1.3352808952331543,5,134
v_Basketball_g05_c02,Basketball,Basketball,1.0541338920593262,4,111
v_Basketball_g05_c03,Basketball,Basketball,1.0719537734985352,4,100
v_Basketball_g05_c04,Basketball,Basketball,1.0719220638275146,3,87
v_Basketball_g06_c01,Basketball,Basketball,1.0497000217437744,3,71
v_Basketball_g06_c02,Basketball,BasketballDunk,1.1278271675109863,4,101
v_Basketball_g06_c03,Basketball,BasketballDunk,1.1406269073486328,4,91
v_Basketball_g06_c04,Basketball,Basketball,1.0450952053070068,3,77
v_Basketball_g07_c01,Basketball,Basketball,1.3581256866455078,5,142
v_Basketball_g07_c02,Basketball,Basketball,1.053274154663086,4,101
v_Basketball_g07_c03,Basketball,Volleyball,1.4024760723114014,5,150
v_Basketball_g07_c04,Basketball,BasketballDunk,1.1305921077728271,4,101
v_BasketballDunk_g01_c01,BasketballDunk,Basketball,1.053792953491211,3,61
v_BasketballDunk_g01_c02,BasketballDunk,Basketball,1.0562682151794434,3,65
v_BasketballDunk_g01_c03,BasketballDunk,Basketball,1.0478980541229248,3,71
v_BasketballDunk_g01_c04,BasketballDunk,BasketballDunk,1.1350290775299072,3,61
v_BasketballDunk_g01_c05,BasketballDunk,Basketball,1.0494630336761475,3,66
v_BasketballDunk_g01_c06,BasketballDunk,Basketball,1.041632890701294,3,80
v_BasketballDunk_g01_c07,BasketballDunk,Basketball,0.7828788757324219,2,57
v_BasketballDunk_g02_c01,BasketballDunk,Basketball,0.7561349868774414,2,56
v_BasketballDunk_g02_c02,BasketballDunk,BasketballDunk,1.1165077686309814,4,109
v_BasketballDunk_g02_c03,BasketballDunk,Basketball,1.0266339778900146,3,71
v_BasketballDunk_g02_c04,BasketballDunk,Basketball,0.7606861591339111,2,58
v_BasketballDunk_g03_c01,BasketballDunk,Basketball,0.7436509132385254,2,58
v_BasketballDunk_g03_c02,BasketballDunk,Basketball,1.0390737056732178,3,76
v_BasketballDunk_g03_c03,BasketballDunk,BasketballDunk,1.1200180053710938,3,74
v_BasketballDunk_g03_c04,BasketballDunk,BasketballDunk,1.126554250717163,3,81
v_BasketballDunk_g03_c05,BasketballDunk,Basketball,1.0696330070495605,3,71
